"Statistic","Chrom","Gene name","Population","stat"
"Fu.Li.F","chr1","NEXN","NZM","Fu and Li's F"
"Fu.Li.F","chr1","NFIA","CIM","Fu and Li's F"
"Fu.Li.F","chr1","NOTCH2","CIM","Fu and Li's F"
"Fu.Li.F","chr1","NRAS","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","NRDC","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","NUP210L","NZM","Fu and Li's F"
"Fu.Li.F","chr1","NVL","NZM","Fu and Li's F"
"Fu.Li.F","chr1","OBSCN","CIM, NZM, TON","Fu and Li's F"
"Fu.Li.F","chr1","OR10Z1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","OR11L1","TON","Fu and Li's F"
"Fu.Li.F","chr1","OR14A16","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","OR1C1","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","OR6K3","NZM","Fu and Li's F"
"Fu.Li.F","chr1","ORC1","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","OSBPL9","SAM","Fu and Li's F"
"Fu.Li.F","chr1","P3H1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","PAPPA2","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","PEF1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","PFKFB2","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr1","PHACTR4","CIM","Fu and Li's F"
"Fu.Li.F","chr1","PHF13","NZM","Fu and Li's F"
"Fu.Li.F","chr1","PIK3R3","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","PIP5K1A","NZM","Fu and Li's F"
"Fu.Li.F","chr1","PKLR","NZM","Fu and Li's F"
"Fu.Li.F","chr1","PLEKHO1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","POMGNT1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","POU2F1","SAM","Fu and Li's F"
"Fu.Li.F","chr1","PPOX","CIM","Fu and Li's F"
"Fu.Li.F","chr1","PRPF38A","SAM","Fu and Li's F"
"Fu.Li.F","chr1","PRUNE1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","PSMA5","TON","Fu and Li's F"
"Fu.Li.F","chr1","PTCH2","TON","Fu and Li's F"
"Fu.Li.F","chr1","PTGFRN","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RAB13","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RAB3B","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","RAB42","TON","Fu and Li's F"
"Fu.Li.F","chr1","RBBP5","NZM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","RBM8A","TON","Fu and Li's F"
"Fu.Li.F","chr1","RC3H1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RCC1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","REG4","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RLF","SAM","Fu and Li's F"
"Fu.Li.F","chr1","RNU11","TON","Fu and Li's F"
"Fu.Li.F","chr1","ROR1","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr1","RPF1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RPRD2","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","RPS27","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RPS6KC1","CIM, NZM, TON","Fu and Li's F"
"Fu.Li.F","chr1","RSBN1","TON","Fu and Li's F"
"Fu.Li.F","chr1","RUSC1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","RUSC1-AS1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","S100A11","SAM","Fu and Li's F"
"Fu.Li.F","chr1","S100A7A","NZM","Fu and Li's F"
"Fu.Li.F","chr1","SCAMP3","NZM","Fu and Li's F"
"Fu.Li.F","chr1","SCMH1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SETDB1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SH3BGRL3","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SHC1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","SHCBP1L","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SLC22A15","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","SLC35E2","TON","Fu and Li's F"
"Fu.Li.F","chr1","SLC35E2B","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","SLC39A1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","SMG7","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr1","SNHG3","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SORT1","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr1","SPAG17","TON","Fu and Li's F"
"Fu.Li.F","chr1","SPATA21","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","SPTA1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","ST3GAL3","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr1","ST7L","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr1","STIL","CIM","Fu and Li's F"
"Fu.Li.F","chr1","STX12","CIM","Fu and Li's F"
"Fu.Li.F","chr1","SVBP","SAM","Fu and Li's F"
"Fu.Li.F","chr1","SYPL2","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","SZRD1","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","SZT2","NZM","Fu and Li's F"
"Fu.Li.F","chr1","TAF12","TON","Fu and Li's F"
"Fu.Li.F","chr1","TARS2","SAM","Fu and Li's F"
"Fu.Li.F","chr1","TBCE","SAM","Fu and Li's F"
"Fu.Li.F","chr1","TCHH","SAM","Fu and Li's F"
"Fu.Li.F","chr1","TESK2","TON","Fu and Li's F"
"Fu.Li.F","chr1","THAP3","NZM","Fu and Li's F"
"Fu.Li.F","chr1","TMEM240","NZM","Fu and Li's F"
"Fu.Li.F","chr1","TMEM81","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","TMEM88B","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","TOE1","TON","Fu and Li's F"
"Fu.Li.F","chr1","TPR","NZM","Fu and Li's F"
"Fu.Li.F","chr1","TRAF5","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","TRIM11","CIM","Fu and Li's F"
"Fu.Li.F","chr1","TRIM17","CIM","Fu and Li's F"
"Fu.Li.F","chr1","TSPAN1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","UBXN11","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","UFC1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","UROD","TON","Fu and Li's F"
"Fu.Li.F","chr1","USP21","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr1","USP24","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","VAMP4","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","VASH2","TON","Fu and Li's F"
"Fu.Li.F","chr1","VPS13D","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr1","VPS45","NZM","Fu and Li's F"
"Fu.Li.F","chr1","VWA1","NZM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","WDR78","CIM","Fu and Li's F"
"Fu.Li.F","chr1","XPR1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","YY1AP1","NZM","Fu and Li's F"
"Fu.Li.F","chr1","ZBTB41","CIM","Fu and Li's F"
"Fu.Li.F","chr1","ZBTB48","NZM","Fu and Li's F"
"Fu.Li.F","chr1","ZBTB7B","CIM","Fu and Li's F"
"Fu.Li.F","chr1","ZFYVE9","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr1","ZMYM1","CIM","Fu and Li's F"
"Fu.Li.F","chr1","ZMYM6","CIM","Fu and Li's F"
"Fu.Li.F","chr1","ZNF593","SAM","Fu and Li's F"
"Fu.Li.F","chr1","ZNF670","TON","Fu and Li's F"
"Fu.Li.F","chr1","ZNF670-ZNF695","TON","Fu and Li's F"
"Fu.Li.F","chr1","ZNF678","TON","Fu and Li's F"
"Fu.Li.F","chr1","ZNF691","SAM","Fu and Li's F"
"Fu.Li.F","chr1","ZNF847P","TON","Fu and Li's F"
"Fu.Li.F","chr1","ZRANB2-AS2","CIM","Fu and Li's F"
"Fu.Li.F","chr1","ZSWIM5","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr1","ZYG11A","TON","Fu and Li's F"
"Fu.Li.F","chr2","ABCB6","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","ABCG5","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ABCG8","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ACVR1C","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ACYP2","TON","Fu and Li's F"
"Fu.Li.F","chr2","ADGRF3","CIM","Fu and Li's F"
"Fu.Li.F","chr2","AFF3","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ALK","TON","Fu and Li's F"
"Fu.Li.F","chr2","ALMS1","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ALS2CR11","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ANKRD44","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ANKZF1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","APLF","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","APOB","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ARHGEF4","CIM","Fu and Li's F"
"Fu.Li.F","chr2","ARPC2","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","ASAP2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ATAD2B","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ATF2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ATG9A","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","ATIC","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ATRAID","CIM","Fu and Li's F"
"Fu.Li.F","chr2","AUP1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","BCL11A","SAM","Fu and Li's F"
"Fu.Li.F","chr2","BMPR2","CIM","Fu and Li's F"
"Fu.Li.F","chr2","BRE","NZM","Fu and Li's F"
"Fu.Li.F","chr2","C2orf66","NZM","Fu and Li's F"
"Fu.Li.F","chr2","CAB39","TON","Fu and Li's F"
"Fu.Li.F","chr2","CAD","CIM","Fu and Li's F"
"Fu.Li.F","chr2","CAPN14","CIM","Fu and Li's F"
"Fu.Li.F","chr2","CCDC138","CIM","Fu and Li's F"
"Fu.Li.F","chr2","CCDC141","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","CCDC142","NZM","Fu and Li's F"
"Fu.Li.F","chr2","CCDC173","CIM","Fu and Li's F"
"Fu.Li.F","chr2","CCT7","NZM","Fu and Li's F"
"Fu.Li.F","chr2","CDKL4","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","CERS6","CIM","Fu and Li's F"
"Fu.Li.F","chr2","CHMP3","SAM","Fu and Li's F"
"Fu.Li.F","chr2","CHN1","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","CLASP1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","CLIP4","TON","Fu and Li's F"
"Fu.Li.F","chr2","CNPPD1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","CNTNAP5","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","COL4A3","CIM","Fu and Li's F"
"Fu.Li.F","chr2","COL5A2","TON","Fu and Li's F"
"Fu.Li.F","chr2","CREB1","SAM","Fu and Li's F"
"Fu.Li.F","chr2","CYP27C1","SAM","Fu and Li's F"
"Fu.Li.F","chr2","CYTIP","SAM","Fu and Li's F"
"Fu.Li.F","chr2","DDX18","SAM","Fu and Li's F"
"Fu.Li.F","chr2","DIRC1","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","DNAH6","NZM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","DNAH7","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","DNAJC5G","NZM","Fu and Li's F"
"Fu.Li.F","chr2","DOCK10","CIM, NZM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","DQX1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","DYNC2LI1","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ERBB4","TON","Fu and Li's F"
"Fu.Li.F","chr2","ERCC3","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","EXOC6B","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","FAM134A","NZM","Fu and Li's F"
"Fu.Li.F","chr2","FAM228B","CIM","Fu and Li's F"
"Fu.Li.F","chr2","FARP2","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","FBXO11","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","FBXO41","NZM","Fu and Li's F"
"Fu.Li.F","chr2","FBXO48","SAM","Fu and Li's F"
"Fu.Li.F","chr2","FKBP1B","CIM","Fu and Li's F"
"Fu.Li.F","chr2","FN1","TON","Fu and Li's F"
"Fu.Li.F","chr2","GALNT13","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","GALNT14","CIM","Fu and Li's F"
"Fu.Li.F","chr2","GCC2","NZM, TON","Fu and Li's F"
"Fu.Li.F","chr2","GEN1","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","GLI2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","GPR155","TON","Fu and Li's F"
"Fu.Li.F","chr2","GTDC1","CIM","Fu and Li's F"
"Fu.Li.F","chr2","GTF2A1L","CIM","Fu and Li's F"
"Fu.Li.F","chr2","GTF3C3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","HTRA2","NZM","Fu and Li's F"
"Fu.Li.F","chr2","IKZF2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","ING5","CIM","Fu and Li's F"
"Fu.Li.F","chr2","INO80B","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","INO80B-WBP1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","IRS1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","KCNH7","TON","Fu and Li's F"
"Fu.Li.F","chr2","KDM3A","SAM","Fu and Li's F"
"Fu.Li.F","chr2","LBX2","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","LBX2-AS1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","LDAH","NZM","Fu and Li's F"
"Fu.Li.F","chr2","LIMS1","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","LINC00116","NZM","Fu and Li's F"
"Fu.Li.F","chr2","LINC01185","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","LNPK","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","LOC100507334","NZM","Fu and Li's F"
"Fu.Li.F","chr2","LOC339807","NZM","Fu and Li's F"
"Fu.Li.F","chr2","LOC654841","CIM","Fu and Li's F"
"Fu.Li.F","chr2","LOXL3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","LRPPRC","SAM","Fu and Li's F"
"Fu.Li.F","chr2","LRRFIP1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","M1AP","NZM","Fu and Li's F"
"Fu.Li.F","chr2","MAP3K2","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","MDH1","TON","Fu and Li's F"
"Fu.Li.F","chr2","METTL21A","SAM","Fu and Li's F"
"Fu.Li.F","chr2","MFF","CIM","Fu and Li's F"
"Fu.Li.F","chr2","MFSD2B","CIM","Fu and Li's F"
"Fu.Li.F","chr2","MGAT4A","CIM","Fu and Li's F"
"Fu.Li.F","chr2","MIR1471","CIM","Fu and Li's F"
"Fu.Li.F","chr2","MIR4435-2HG","CIM","Fu and Li's F"
"Fu.Li.F","chr2","MIR548N","NZM","Fu and Li's F"
"Fu.Li.F","chr2","MIR933","SAM","Fu and Li's F"
"Fu.Li.F","chr2","MMADHC","TON","Fu and Li's F"
"Fu.Li.F","chr2","MOGS","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","MPV17","NZM","Fu and Li's F"
"Fu.Li.F","chr2","MRPL53","NZM","Fu and Li's F"
"Fu.Li.F","chr2","MSH6","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","MYO1B","NZM","Fu and Li's F"
"Fu.Li.F","chr2","NBAS","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","NBEAL1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","NCOA1","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","NEB","CIM","Fu and Li's F"
"Fu.Li.F","chr2","NHEJ1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","NIF3L1","TON","Fu and Li's F"
"Fu.Li.F","chr2","NPHP1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","NUP35","SAM","Fu and Li's F"
"Fu.Li.F","chr2","NYAP2","CIM","Fu and Li's F"
"Fu.Li.F","chr2","ORC2","TON","Fu and Li's F"
"Fu.Li.F","chr2","PARD3B","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","PCGF1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","PFN4","CIM","Fu and Li's F"
"Fu.Li.F","chr2","PHOSPHO2","CIM","Fu and Li's F"
"Fu.Li.F","chr2","PHOSPHO2-KLHL23","CIM","Fu and Li's F"
"Fu.Li.F","chr2","PIKFYVE","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","PKP4","CIM","Fu and Li's F"
"Fu.Li.F","chr2","PLEKHA3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","PLEKHH2","NZM","Fu and Li's F"
"Fu.Li.F","chr2","PPIG","CIM","Fu and Li's F"
"Fu.Li.F","chr2","PPIL3","TON","Fu and Li's F"
"Fu.Li.F","chr2","PRADC1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","PROKR1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","PTH2R","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","PUS10","TON","Fu and Li's F"
"Fu.Li.F","chr2","RAD51AP2","NZM","Fu and Li's F"
"Fu.Li.F","chr2","REL","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","RHBDD1","TON","Fu and Li's F"
"Fu.Li.F","chr2","RNF103-CHMP3","SAM","Fu and Li's F"
"Fu.Li.F","chr2","RNU4ATAC","NZM","Fu and Li's F"
"Fu.Li.F","chr2","RTKN","NZM","Fu and Li's F"
"Fu.Li.F","chr2","RUFY4","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SAP130","CIM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","SATB2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","SCRN3","TON","Fu and Li's F"
"Fu.Li.F","chr2","SEPT2","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SESTD1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SF3B6","CIM","Fu and Li's F"
"Fu.Li.F","chr2","SH3RF3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SLC23A3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SLC30A3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SLC5A6","CIM","Fu and Li's F"
"Fu.Li.F","chr2","SLC9A2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","SMC6","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","SPAG16","SAM","Fu and Li's F"
"Fu.Li.F","chr2","SPOPL","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr2","ST6GAL2","SAM","Fu and Li's F"
"Fu.Li.F","chr2","STON1-GTF2A1L","CIM","Fu and Li's F"
"Fu.Li.F","chr2","SUCLG1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","SULT1C3","NZM","Fu and Li's F"
"Fu.Li.F","chr2","TEX41","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr2","THADA","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr2","TLK1","TON","Fu and Li's F"
"Fu.Li.F","chr2","TLX2","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","TMEM131","NZM","Fu and Li's F"
"Fu.Li.F","chr2","TMSB10","SAM","Fu and Li's F"
"Fu.Li.F","chr2","TP53I3","CIM","Fu and Li's F"
"Fu.Li.F","chr2","TRABD2A","SAM","Fu and Li's F"
"Fu.Li.F","chr2","TRIM54","NZM","Fu and Li's F"
"Fu.Li.F","chr2","TTC31","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","TTN","NZM","Fu and Li's F"
"Fu.Li.F","chr2","TTN-AS1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","UBXN2A","CIM","Fu and Li's F"
"Fu.Li.F","chr2","UGP2","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","UNC80","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","VPS54","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr2","VSNL1","NZM","Fu and Li's F"
"Fu.Li.F","chr2","VWA3B","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr2","WBP1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr2","WDCP","CIM","Fu and Li's F"
"Fu.Li.F","chr2","WDPCP","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr2","ZDBF2","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ZFAND2B","NZM","Fu and Li's F"
"Fu.Li.F","chr2","ZNF385B","TON","Fu and Li's F"
"Fu.Li.F","chr2","ZNF638","CIM","Fu and Li's F"
"Fu.Li.F","chr2","ZNF804A","SAM","Fu and Li's F"
"Fu.Li.F","chr3","ABCC5","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ABCC5-AS1","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ABHD14A","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ABHD14A-ACY1","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ABHD14B","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ACAA1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","ACTL6A","SAM","Fu and Li's F"
"Fu.Li.F","chr3","ACVR2B","TON","Fu and Li's F"
"Fu.Li.F","chr3","ACVR2B-AS1","TON","Fu and Li's F"
"Fu.Li.F","chr3","ACY1","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ADGRG7","SAM","Fu and Li's F"
"Fu.Li.F","chr3","AMIGO3","NZM","Fu and Li's F"
"Fu.Li.F","chr3","AMOTL2","TON","Fu and Li's F"
"Fu.Li.F","chr3","APEH","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ARIH2","NZM","Fu and Li's F"
"Fu.Li.F","chr3","ATG3","CIM","Fu and Li's F"
"Fu.Li.F","chr3","ATR","NZM","Fu and Li's F"
"Fu.Li.F","chr3","B3GNT5","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr3","BAP1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr3","BCHE","TON","Fu and Li's F"
"Fu.Li.F","chr3","BRK1","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","BSN","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","C3orf35","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","C3orf62","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","C3orf84","SAM","Fu and Li's F"
"Fu.Li.F","chr3","CCDC12","NZM","Fu and Li's F"
"Fu.Li.F","chr3","CCDC36","CIM, NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","CCDC39","SAM","Fu and Li's F"
"Fu.Li.F","chr3","CCDC66","CIM","Fu and Li's F"
"Fu.Li.F","chr3","CCDC71","SAM","Fu and Li's F"
"Fu.Li.F","chr3","CCR1","TON","Fu and Li's F"
"Fu.Li.F","chr3","CCR3","TON","Fu and Li's F"
"Fu.Li.F","chr3","CCR8","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","CCRL2","CIM","Fu and Li's F"
"Fu.Li.F","chr3","CELSR3","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr3","CIDEC","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","CIDECP","SAM","Fu and Li's F"
"Fu.Li.F","chr3","CMSS1","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","CNBP","CIM","Fu and Li's F"
"Fu.Li.F","chr3","COL7A1","CIM, NZM, TON","Fu and Li's F"
"Fu.Li.F","chr3","COPG1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","CTDSPL","CIM","Fu and Li's F"
"Fu.Li.F","chr3","DALRD3","NZM","Fu and Li's F"
"Fu.Li.F","chr3","DCBLD2","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","DLEC1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","DLG1","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","DNAH1","CIM, NZM","Fu and Li's F"
"Fu.Li.F","chr3","DYNC1LI1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","EFHB","SAM","Fu and Li's F"
"Fu.Li.F","chr3","EIF1B-AS1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","EMC3","TON","Fu and Li's F"
"Fu.Li.F","chr3","EPHA6","TON","Fu and Li's F"
"Fu.Li.F","chr3","FAM208A","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","FANCD2","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","FANCD2OS","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","FBXW12","NZM","Fu and Li's F"
"Fu.Li.F","chr3","FILIP1L","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","FOXP1","SAM","Fu and Li's F"
"Fu.Li.F","chr3","FYTTD1","NZM","Fu and Li's F"
"Fu.Li.F","chr3","GMPPB","NZM","Fu and Li's F"
"Fu.Li.F","chr3","GOLGA4","CIM, NZM, SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","GPR62","NZM","Fu and Li's F"
"Fu.Li.F","chr3","HLTF","CIM","Fu and Li's F"
"Fu.Li.F","chr3","HLTF-AS1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","IFT80","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","IMPDH2","NZM","Fu and Li's F"
"Fu.Li.F","chr3","IP6K1","NZM","Fu and Li's F"
"Fu.Li.F","chr3","IQCF1","CIM, NZM, TON","Fu and Li's F"
"Fu.Li.F","chr3","IQCF2","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","IQCF3","TON","Fu and Li's F"
"Fu.Li.F","chr3","IQCF4","TON","Fu and Li's F"
"Fu.Li.F","chr3","IQCF5","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","IQCG","CIM","Fu and Li's F"
"Fu.Li.F","chr3","ISY1","CIM","Fu and Li's F"
"Fu.Li.F","chr3","ISY1-RAB43","CIM","Fu and Li's F"
"Fu.Li.F","chr3","KBTBD8","NZM, TON","Fu and Li's F"
"Fu.Li.F","chr3","KIF15","CIM, TON","Fu and Li's F"
"Fu.Li.F","chr3","LAMB2","NZM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","LAMB2P1","SAM","Fu and Li's F"
"Fu.Li.F","chr3","LINC01192","SAM","Fu and Li's F"
"Fu.Li.F","chr3","LMLN","CIM, SAM","Fu and Li's F"
"Fu.Li.F","chr3","LOC220729","SAM, TON","Fu and Li's F"
"Fu.Li.F","chr3","LOC401052","SAM","Fu and Li's F"
"Fu.Li.F","chr3","LPP","SAM","Fu and Li's F"
"Fu.Li.F","chr3","LRRFIP2","SAM","Fu and Li's F"
"Fu.Li.F","chr3","MAATS1","TON","Fu and Li's F"
